"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
12954	"2498708"	5	"2498705+2498706+2498707+2498708+2498709"	"2"	"2498705"	"2498706"	"2498707"	"2498708"	NA	NA	NA
12954	"2498709"	5	"2498705+2498706+2498707+2498708+2498709"	"2"	"2498705"	"2498706"	"2498707"	"2498708"	"2498709"	NA	NA
12956	"200918"	2	"200918+188708"	"2"	"200918"	NA	NA	NA	NA	NA	NA
12956	"188708"	2	"200918+188708"	"2"	"200918"	"188708"	NA	NA	NA	NA	NA
12958	"2419"	1	"2419"	"2"	"200918"	"188708"	"2419"	NA	NA	NA	NA
12959	"188709"	1	"188709"	"2"	"200918"	"188708"	"2419"	"188709"	NA	NA	NA
12960	"1643951"	1	"1643951"	"2"	"200918"	"188708"	"2419"	"188709"	"1643951"	NA	NA
12962	"2335"	1	"2335"	"2"	"200918"	"188708"	"2419"	"188709"	"2335"	NA	NA
12966	"93929"	1	"93929"	"2"	"200918"	"188708"	"2419"	"188709"	"2335"	"93929"	NA
12967	"1643950"	1	"1643950"	"2"	"200918"	"188708"	"2419"	"1643950"	NA	NA	NA
12968	"2420"	1	"2420"	"2"	"200918"	"188708"	"2419"	"1643950"	"2420"	NA	NA
12971	"2422"	1	"2422"	"2"	"200918"	"188708"	"2419"	"1643950"	"2422"	NA	NA
12979	"1643946"	2	"1643946+1643948"	"2"	"200918"	"188708"	"1643946"	NA	NA	NA	NA
12979	"1643948"	2	"1643946+1643948"	"2"	"200918"	"188708"	"1643946"	"1643948"	NA	NA	NA
12980	"651456"	1	"651456"	"2"	"200918"	"188708"	"1643946"	"1643948"	"651456"	NA	NA
12983	"1184396"	1	"1184396"	"2"	"200918"	"188708"	"1643946"	"1643948"	"1184396"	NA	NA
12985	"1643947"	2	"1643947+1643949"	"2"	"200918"	"188708"	"1643947"	NA	NA	NA	NA
12985	"1643949"	2	"1643947+1643949"	"2"	"200918"	"188708"	"1643947"	"1643949"	NA	NA	NA
12986	"160798"	1	"160798"	"2"	"200918"	"188708"	"1643947"	"1643949"	"160798"	NA	NA
12989	"28236"	1	"28236"	"2"	"200918"	"188708"	"1643947"	"1643949"	"28236"	NA	NA
12997	"67819"	1	"67819"	"2"	"67819"	NA	NA	NA	NA	NA	NA
13002	"1297"	2	"1297+188787"	"2"	"1297"	NA	NA	NA	NA	NA	NA
13002	"188787"	2	"1297+188787"	"2"	"1297"	"188787"	NA	NA	NA	NA	NA
13004	"2762275"	2	"2762275+332247"	"2"	"1297"	"188787"	"2762275"	NA	NA	NA	NA
13004	"332247"	2	"2762275+332247"	"2"	"1297"	"188787"	"2762275"	"332247"	NA	NA	NA
13005	"68933"	2	"68933+188786"	"2"	"1297"	"188787"	"68933"	NA	NA	NA	NA
13005	"188786"	2	"68933+188786"	"2"	"1297"	"188787"	"68933"	"188786"	NA	NA	NA
13008	"270"	1	"270"	"2"	"1297"	"188787"	"68933"	"188786"	"270"	NA	NA
13017	"65551"	1	"65551"	"2"	"1297"	"188787"	"68933"	"188786"	"65551"	NA	NA
13020	"2747271"	1	"2747271"	"2"	"1297"	"188787"	"68933"	"188786"	"2747271"	NA	NA
13025	"172827"	1	"172827"	"2"	"1297"	"188787"	"68933"	"188786"	"65551"	"172827"	NA
13027	"118964"	3	"118964+183710+1298"	"2"	"1297"	"188787"	"118964"	NA	NA	NA	NA
13027	"183710"	3	"118964+183710+1298"	"2"	"1297"	"188787"	"118964"	"183710"	NA	NA	NA
13027	"1298"	3	"118964+183710+1298"	"2"	"1297"	"188787"	"118964"	"183710"	"1298"	NA	NA
13054	"200795"	1	"200795"	"2"	"200795"	NA	NA	NA	NA	NA	NA
13079	"388447"	1	"388447"	"2"	"200795"	"388447"	NA	NA	NA	NA	NA
13080	"388448"	3	"388448+388449+363276"	"2"	"200795"	"388447"	"388448"	NA	NA	NA	NA
13080	"388449"	3	"388448+388449+363276"	"2"	"200795"	"388447"	"388448"	"388449"	NA	NA	NA
13080	"363276"	3	"388448+388449+363276"	"2"	"200795"	"388447"	"388448"	"388449"	"363276"	NA	NA
13102	"3027942"	2	"3027942+189775"	"2"	"3027942"	NA	NA	NA	NA	NA	NA
13102	"189775"	2	"3027942+189775"	"2"	"3027942"	"189775"	NA	NA	NA	NA	NA
13103	"85001"	2	"85001+85002"	"2"	"3027942"	"189775"	"85001"	NA	NA	NA	NA
13103	"85002"	2	"85001+85002"	"2"	"3027942"	"189775"	"85001"	"85002"	NA	NA	NA
13107	"301297"	3	"301297+1202465+1202464"	"2"	"200795"	"301297"	NA	NA	NA	NA	NA
13107	"1202465"	3	"301297+1202465+1202464"	"2"	"200795"	"301297"	"1202465"	NA	NA	NA	NA
13107	"1202464"	3	"301297+1202465+1202464"	"2"	"200795"	"301297"	"1202465"	"1202464"	NA	NA	NA
13140	"670486"	1	"670486"	"2"	"200795"	"301297"	NA	NA	"670486"	NA	NA
13157	"32061"	1	"32061"	"2"	"200795"	"32061"	NA	NA	NA	NA	NA
13158	"189772"	3	"189772+189773+64"	"2"	"200795"	"32061"	"189772"	NA	NA	NA	NA
13158	"189773"	3	"189772+189773+64"	"2"	"200795"	"32061"	"189772"	"189773"	NA	NA	NA
13158	"64"	3	"189772+189773+64"	"2"	"200795"	"32061"	"189772"	"189773"	"64"	NA	NA
13160	"32064"	1	"32064"	"2"	"200795"	"32061"	"32064"	NA	NA	NA	NA
13161	"1508635"	1	"1508635"	"2"	"200795"	"32061"	"32064"	"1508635"	NA	NA	NA
13162	"120961"	1	"120961"	"2"	"200795"	"32061"	"32064"	"1508635"	"120961"	NA	NA
13164	"104174"	1	"104174"	"2"	"200795"	"32061"	"32064"	"104174"	NA	NA	NA
13166	"1106"	2	"1106+1107"	"2"	"200795"	"32061"	"32064"	"1106"	NA	NA	NA
13166	"1107"	2	"1106+1107"	"2"	"200795"	"32061"	"32064"	"1106"	"1107"	NA	NA
13168	"1382928"	1	"1382928"	"2"	"200795"	"1382928"	NA	NA	NA	NA	NA
13170	"292625"	1	"292625"	"2"	"200795"	"292625"	NA	NA	NA	NA	NA
13176	"475962"	3	"475962+475963+475964"	"2"	"200795"	"475962"	NA	NA	NA	NA	NA
13176	"475963"	3	"475962+475963+475964"	"2"	"200795"	"475962"	"475963"	NA	NA	NA	NA
13176	"475964"	3	"475962+475963+475964"	"2"	"200795"	"475962"	"475963"	"475964"	NA	NA	NA
13177	"292629"	2	"292629+292628"	"2"	"200795"	"292625"	"292629"	NA	NA	NA	NA
13177	"292628"	2	"292629+292628"	"2"	"200795"	"292625"	"292629"	"292628"	NA	NA	NA
13181	"1495646"	4	"1495646+1495647+1495648+1495649"	"2"	"200795"	"1495646"	NA	NA	NA	NA	NA
13181	"1495647"	4	"1495646+1495647+1495648+1495649"	"2"	"200795"	"1495646"	"1495647"	NA	NA	NA	NA
13181	"1495648"	4	"1495646+1495647+1495648+1495649"	"2"	"200795"	"1495646"	"1495647"	"1495648"	NA	NA	NA
13181	"1495649"	4	"1495646+1495647+1495648+1495649"	"2"	"200795"	"1495646"	"1495647"	"1495648"	"1495649"	NA	NA
13213	"233189"	1	"233189"	"2"	"200795"	"292625"	"292629"	"292628"	"233189"	NA	NA
13231	"1117"	20	"1117+1239+203691+32066+186801+203490+203692+3028117+1161+1643686+186802+203491+1162+143786+203492+31979+1177+1485+29521+848"	"2"	"1117"	NA	NA	NA	NA	NA	NA
13231	"1239"	20	"1117+1239+203691+32066+186801+203490+203692+3028117+1161+1643686+186802+203491+1162+143786+203492+31979+1177+1485+29521+848"	"2"	"1239"	NA	NA	NA	NA	NA	NA
13231	"203691"	20	"1117+1239+203691+32066+186801+203490+203692+3028117+1161+1643686+186802+203491+1162+143786+203492+31979+1177+1485+29521+848"	"2"	"203691"	NA	NA	NA	NA	NA	NA
13231	"32066"	20	"1117+1239+203691+32066+186801+203490+203692+3028117+1161+1643686+186802+203491+1162+143786+203492+31979+1177+1485+29521+848"	"2"	"32066"	NA	NA	NA	NA	NA	NA
